fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210907 035236	-0.13093943197155	1350	404	19	5	5260000
20210907 035331	-0.996848235814534	2566	1277	13	5	3858750
20210907 035413	-0.342780295297859	2924	570	8	5	4957500
20210907 035434	-0.544416692494446	1298	644	3	5	3666250
20210907 035538	-0.521472430567637	2524	431	20	5	5057500
20210907 035644	-0.512808959190953	1313	156	14	5	5028750
20210907 035723	-0.212349880083689	3999	1999	8	5	2117500
20210907 035808	-0.345307273280907	7138	177	10	5	2630000
20210907 035852	-0.510125239164811	1339	171	8	5	5236250
20210907 035936	-0.970492584117923	390	187	8	5	3796250
20210907 040023	-0.949166355053131	1494	181	9	5	5192500
20210907 040120	-0.599754945817482	1673	358	12	5	5122500
20210907 040215	-0.561218151094538	1364	177	11	5	5405000
20210907 040328	-0.683692823838933	1375	197	17	5	5268750
20210907 040444	-0.448646367806395	1445	186	19	5	5031250
20210907 040510	-0.281292158192488	3677	534	4	5	2580000
20210907 040549	-0.659091541843819	2472	541	7	5	4758750
20210907 040623	-0.639091881269343	2875	778	6	5	4585000
20210907 040718	-0.926568741208621	2735	395	13	5	5013750
20210907 040807	-0.49435821904325	2728	480	10	5	5037500
20210907 040929	-0.745530526485713	7998	2	20	5	2316250
20210907 041030	-0.346554110630055	2175	401	14	5	4935000
20210907 041106	-0.310498429192437	1794	894	6	5	4241250
20210907 041212	-0.606169856838894	2104	354	19	5	5228750
20210907 041312	-0.475444944091443	2395	721	19	5	4830000
20210907 041348	-0.695494815369958	1249	407	6	5	5310000
20210907 041444	-0.935408719348288	2090	1043	18	5	4431250
20210907 041539	-0.561437686308418	2949	611	12	5	4897500
20210907 041642	-0.89825702710599	1579	323	15	5	4911250
20210907 041723	-0.999820246327144	7999	1748	9	5	2630000
20210907 041813	-0.999182799363392	3075	216	10	5	4681250
20210907 041902	-0.744450685192972	7997	1374	15	5	2630000
20210907 042006	-0.110677313406189	1723	178	14	5	5091250
20210907 042106	-0.0924406852557963	1412	589	14	5	4943750
20210907 042211	-0.758386993735415	2153	423	19	5	4935000
20210907 042247	-0.746527237528596	1274	604	6	5	5117500
20210907 042351	-0.604400575877191	2774	362	18	5	4992500
20210907 042459	-0.612775366840299	1345	373	18	5	5166250
20210907 042534	-0.158845382989428	8000	2000	7	5	2630000
20210907 042618	-0.170728601185114	1407	177	8	5	5308750
20210907 042713	-0.212689348164496	1763	398	11	5	5215000
20210907 042733	-0.694816693217661	7086	138	3	5	2630000
20210907 042823	-0.034889175539818	4006	1999	19	5	2117500
20210907 042914	-0.461329019878935	1283	189	10	5	5368750
20210907 043019	-0.0712676101123086	1374	360	19	5	5168750
20210907 043105	-0.106411358866865	2867	350	9	5	4992500
20210907 043216	-0.785965758592522	1341	203	17	5	5082500
20210907 043251	-0.715921314410387	1654	524	6	5	5011250
20210907 043355	-0.641396622215277	1897	350	16	5	5075000
20210907 043442	-0.634136127457764	2895	317	9	5	4941250
20210907 043525	-0.999922009202635	2416	387	8	5	5001250
20210907 043633	-0.553994475977151	1748	410	19	5	5222500
20210907 043717	-0.651802308901944	1295	191	8	5	5543750
20210907 043813	-0.809764662674221	2425	1209	20	5	3937500
20210907 043921	-0.0855013827744718	1359	464	20	5	5050000
20210907 044007	-0.361486454757864	2842	731	9	5	4883750
20210907 044103	-0.458579392079944	1780	346	11	5	5187500
20210907 044203	-0.365103768374072	2880	653	17	5	4968750
20210907 044247	-0.849344300768078	2706	206	8	5	4737500
20210907 044332	-0.900796346953614	1272	401	8	5	5200000
20210907 044357	-0.152938604761625	271	134	4	5	2993750
20210907 044513	-0.622113965008349	1428	173	18	5	5230000
20210907 044557	-0.959410397071112	1253	243	8	5	5195000
20210907 044617	-0.163497053836067	8000	1168	3	5	2630000
