fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211012 010357	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	164	TRUE	0.0154831448274851	0.365215786290215	1246	678	0.0360287058381503	62	8228124.95475
20211012 011123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	462	TRUE	0.0107555727833509	0.316491898354935	3807	21	0.0306623215781318	63	8006749.9565
20211012 011431	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0461645023627207	0.770523561486229	3197	489	0.0329269952231298	64	7896874.956
20211012 011717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0.0224126640768908	0.213574230519333	3519	538	0.0301057132295935	65	7737374.9573375
20211012 011951	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.057924606492687	0.772457152525941	3341	393	0.0308875142656773	66	7543749.9573875
20211012 012138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	64	TRUE	0.0865122083734907	0.369332399444794	2865	26	0.0319582417652169	67	8055999.95735
20211012 013139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	454	TRUE	0.011387157986816	0.815169257568289	5451	938	0.0356080628897782	68	8137374.955325
20211012 013404	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.0754410019209422	0.698774912910722	6416	31	0.0389179705245465	69	7789999.9537
20211012 013552	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.0735661888982542	0.845558157932316	2959	389	0.0274756325778101	70	7781624.961425
20211012 013827	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	86	TRUE	0.0721116967679746	0.686017871951894	5827	106	0.03026079876368	71	8001249.9575
20211012 014337	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	201	TRUE	0.0179017488167062	0.485355197553895	4707	791	0.0309385012873404	72	8014374.957325
20211012 014626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0525016933836974	0.934233920794446	3494	475	0.0257930607966433	73	7909374.9602
20211012 015010	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	115	TRUE	0.0340808687934093	0.569116508161672	3908	38	0.0258907859238699	74	7920624.958625
20211012 015116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.078511108138524	0.159324065321893	1389	711	0.0277688079671382	75	7749624.958775
20211012 015342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	0.0193184200487472	0.121568430168764	1062	811	0.0290434835635278	76	7768249.9593375
20211012 015622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0575071332638897	0.490943454308715	2995	445	0.0311976853249274	77	7979374.957275
20211012 015758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	0.0580165207584761	0.319355085335672	4063	268	0.0298507781102306	78	8064374.958725
20211012 020221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.0183633222055435	0.95262688657688	1633	674	0.0341209413626397	79	7918124.955425
20211012 020411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.088798538037613	0.547786430923105	3819	793	0.0274416412294682	80	7494374.9601875
20211012 020556	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.0885489357231371	0.836380475695594	4056	251	0.0282701803694158	81	7806124.9599125
20211012 020819	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.066013987843059	0.722383553445083	5466	416	0.0317224267835984	82	7815624.955875
20211012 021147	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.0409749276255257	0.854341933674505	1116	615	0.0296850702880196	83	8141874.957
20211012 023349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	113	TRUE	0.0419818059716187	0.621307086950075	6322	55	0.0344523570193836	84	8330874.9546875
20211012 024416	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.0558473255085386	0.524592610285943	1453	989	0.0281129703811036	85	7835874.9569
20211012 024635	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0469791436595097	0.254009607711574	4077	231	0.032102705002256	86	7974249.95475
20211012 025013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	0.0246495179072581	0.797727362997853	3361	1010	0.0285506089993979	87	7909374.95965
20211012 025216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	106	TRUE	0.0334496254689619	0.151889331819024	1045	151	0.0336216934196866	88	7790624.956
20211012 025510	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	174	TRUE	0.0229459375848249	0.211661739532603	4891	976	0.0285251154906907	89	7797749.9585125
20211012 025837	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	83	TRUE	0.0322954085835069	0.594575987373921	2390	232	0.0314228780162969	90	8146874.95665
20211012 030120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0384030318802409	0.43692203714801	6180	439	0.0324086271424323	91	7940874.956225
20211012 030446	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	149	TRUE	0.0223879631852172	0.320668346037739	2320	434	0.0326508155062732	92	8136874.9547
20211012 030602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	59	TRUE	0.0857476656192541	0.175942024532473	5770	858	0.0359479763842449	93	7554749.95505
20211012 030900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	99	TRUE	0.0365911541399919	0.424726277268934	2568	1019	0.0354848442566062	94	8204999.95395
20211012 031101	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	0.0713427686090395	0.454927369985124	4215	1017	0.0318010317730807	95	7971874.9573
20211012 031637	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	248	TRUE	0.0187559457196295	0.469007944307895	5902	493	0.0337385386808336	96	7843124.9564125
