fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211013 002501	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	135	TRUE	0.0299419967976917	0.890349207335503	2421	51	7	2	0.0291433331583643	40	8233374.95745
20211013 003127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	188	TRUE	0.0251938137021622	0.794161343302435	2494	117	0	105	0.0336110711145663	41	8003624.958375
20211013 004055	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	312	TRUE	0.025042793821005	0.788193264391389	3273	730	11	50	0.0370441974003521	42	8231624.9533625
20211013 005031	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	234	TRUE	0.0251089718530078	0.5916305638869	4849	782	10	94	0.0304371288803889	43	8015624.95925
20211013 012638	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	96	TRUE	0.0333133552039813	0.784239254124576	2283	191	14	0	0.0352320335884948	44	8387374.955475
20211013 013550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	144	TRUE	0.0374699135100247	0.855754309487359	2385	217	12	30	0.036517331484906	45	8327124.954125
20211013 014301	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	252	TRUE	0.0364108646393	0.852186539072123	2156	116	18	17	0.0341591816323925	46	8216874.954625
20211013 014621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	84	TRUE	0.0319610120920634	0.673984793759275	2390	209	13	0	0.031193436404154	47	8055624.95875
20211013 015214	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	197	TRUE	0.0294008410101065	0.835133942740387	2255	266	13	22	0.0347200388938436	48	8302124.9547625
20211013 015646	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	137	TRUE	0.0342353160397129	0.794820305269074	2258	189	9	24	0.0291836978836175	49	8129874.957875
20211013 023553	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	118	TRUE	0.0332996447654382	0.86183777534193	2431	176	15	2	0.0343864987794749	50	8410499.955025
20211013 024245	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	130	TRUE	0.0357605338212613	0.822415198183221	2331	383	15	15	0.0324383695704257	51	8316874.957
20211013 025012	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	286	TRUE	0.0333959654543733	0.855153333676454	2892	57	14	76	0.0339764781260255	52	8017624.9558875
20211013 025429	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	112	TRUE	0.0264493106905118	0.875743329039209	2653	489	6	4	0.0323831336309634	53	8169374.9566625
20211013 030249	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	361	TRUE	0.0305586371048134	0.79643610391313	2395	778	28	154	0.0314483715184182	54	8010499.9594125
20211013 030701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	127	TRUE	0.0375684344878732	0.870275772530332	3303	816	13	4	0.0345330864715895	55	8302999.95515
20211013 031600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	373	TRUE	0.0315039845481971	0.419005300737792	3099	864	8	88	0.0330459649442387	56	8206874.9552625
20211013 032207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	227	TRUE	0.0369463582246682	0.868834457398925	4964	227	13	0	0.0357567750488654	57	7971999.9537
